CODE	ADRESA	ROK	BARCODE
719JV27696	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27697	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27698	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27699	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27700	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27701	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27702	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27703	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27704	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27705	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27706	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27707	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27708	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27709	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27710	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27711	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27712	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27713	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27714	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27715	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27716	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27717	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27718	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27719	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27720	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27721	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27722	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27723	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27724	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27725	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27726	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27727	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27728	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27729	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27730	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27731	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27732	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27733	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27734	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27735	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27736	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27737	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27738	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27739	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27740	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27741	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27742	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27743	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27744	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27745	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27746	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27747	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27748	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27749	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27750	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27751	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27752	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27753	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27754	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27755	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27756	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27757	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27758	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27759	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27760	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27761	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27762	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27763	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27764	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27765	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27766	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27767	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27768	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27769	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27770	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27771	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27772	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27773	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27774	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27775	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27776	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27777	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27778	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27779	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27780	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27781	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27782	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27783	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
